round,hypothesis_id,source_type,direction,mechanical,self_report_prior,self_report_post,effect_size,verdict,boundary_conditions
1,H-R1-1,DATA-DRIVEN,机制,0.0000,0.45,0.95,0.0000,SUPPORTED,"x2_clean确定性评估世界: train_U重评估无噪声(不采纳代|d|中位数0,n=784)->假采纳结构性不可能; 需评估噪声/漂移世界(E14类)复检"
1,H-R1-2,DATA-DRIVEN,参数,0.4760,0.55,0.08,-0.0185,REFUTED,"仅k∈{1,2}(96/80,无k>=3); x2_clean参数空间5维; 复合变更无平均收益优势(perm_p=0.6724)"
1,H-R1-3,DATA-DRIVEN,机制,0.5127,0.5,0.60,0.5127,SUPPORTED,40run全部总收益>0; 26代长度; 门控严格保改进(假采纳0/176); share中位数0.5127刚过阈值属弱支持
2,H-R2-1,LIT-REPLICATE,边界,0.5457,0.7,0.10,0.4611,REFUTED,二次平坦景观(1-d2)+1候选/代+step0.35+margin0.05; 单调性成立(0.085/0.433/0.546)但低噪端sigma=0.02假采纳率8.5%>=5%阈值——预注册阈值是先验错误猜测; E5/E14微观参数化复现成功(机制方向)
2,H-R2-2,LIT-REPLICATE,边界,1.0000,0.6,0.55,0.0358,INCONCLUSIVE,sigma=0.08中噪; 内点优势微弱(+0.036)两两4/4全胜但未达0.02支配阈; margin=0.30采纳饥饿(125事件)终值最低0.7053; 假采纳率0.61~0.03区间终值仅波动0.06——平坦景观吸收假采纳代价
3,H-R3-1,LIT-REPLICATE,机制,0.3782,0.75,0.92,0.3782,SUPPORTED,目标间距>=1.2二次景观; sigma=0.03低噪margin0.05step0.35G30切换@15; K=1; E16在最小引擎强复现
3,H-R3-2,LIT-REPLICATE,机制,0.6100,0.65,0.25,0.3428,INCONCLUSIVE,K=5非支配淘汰; 缓解量大(+0.343配对61%)但联合判据因B增益差0.0156未过不牺牲条款->OBL-001判据v1下测得
3,H-R3-3,LIT-REPLICATE,机制,0.5400,0.6,0.30,-0.0656,INCONCLUSIVE,"塑性代价-0.0656落在[-0.10,-0.03)不确定带; pareto臂B学习被档案分摊拖慢; E18引申的代价方向部分成立"
4,H-R4-1,DATA-DRIVEN,证伪,0.6492,0.45,0.90,0.4059,SUPPORTED,窄高斯峰r0.15+超平坦远场; sigma0.08/margin0.05; 双峰:30%run收敛>0.8与70%荒漠(median=0); 吸收论仅在平坦顶部世界成立——景观尖锐度是假采纳代价调节变量
4,H-R4-2,DATA-DRIVEN,证伪,0.5000,0.5,0.15,0.4059,INCONCLUSIVE,假采纳率0.7628>平坦0.5243(差0.2385超0.10带宽):塌缩是概率+代价双因素非纯代价; 门控不对称只保护峰顶不保护梯度趋零的荒漠——拟题期反机制推理被部分修正
5,H-R5-1,DATA-DRIVEN,跨库,0.9268,0.65,0.90,0.4268,SUPPORTED,41合格run跨4族(x2_clean40/x1_static8/豆包5/混元1); x3族出局(round多为0/None); Pearson r仅0.3605——符号强一致但幅度预测弱
