kind,key,value
already-sampled,P0:引用论文总表.md:190:arXiv 论文 24 篇（A1–A23,phase=0 result=命中
already-sampled,P0:引用论文总表.md:3:bootstrap_v3.8.2 SOU,phase=0 result=命中
already-sampled,P0:引用论文总表.md:108:SWE-bench 解决率 20%→50,phase=0 result=命中
already-sampled,P0:引用论文总表.md:192:三个不同实体,phase=0 result=命中
already-sampled,P0:库调试工作区/citations.md:1:手改即违例,phase=0 result=命中
already-sampled,P0:库调试工作区/citations.md:15:v2.x 标题与作者皆错,phase=0 result=未命中
already-sampled,P0:大审查/glm/v4.0-1.md:3:它引用的 33 篇文献,phase=0 result=命中
already-sampled,P0:库调试工作区/references/两轴模型与演化授权-v1.md:4:混元 26 轮离线推演（125 实验）,phase=0 result=命中
already-sampled,P0:库调试工作区/references/两轴模型与演化授权-v1.md:11:L 能力轴,phase=0 result=命中
already-sampled,P0:库调试工作区/references/两轴模型与演化授权-v1.md:14:两轴正交,phase=0 result=命中
already-sampled,P0-更正:库调试工作区/citations.md:16:v2.x 标题与作者皆错,phase=0 result=命中
already-sampled,P05:33629df70c974a3ee8cb993d1427bb25835bf81654842c035acac26c143f8ab4,phase=0.5 result=命中
already-sampled,P05:bf1a9d27c300e4e2e43b550ae2a4df4d6627c1638a5e1ad08ef180b953eca900,phase=0.5 result=命中
already-sampled,P05:220094717193c09361c2c0c726b5625140a1b3b10b62eca5619e46b19188480a,phase=0.5 result=命中
already-sampled,P05:f2ba8bbcfefafb3cf13ff540a2c52a03e4ca35833b2356f9e4ddb68362296bb5,phase=0.5 result=命中
already-sampled,P05:44255aca17c695e480454cdd7d0d43531430a7c8522edfc9aa221acd58d9b53a,phase=0.5 result=命中
already-sampled,P05:229cc9d1b9e95720d6e39641ec4b2b027527caf4042e835442873901b93d5371,phase=0.5 result=命中
already-sampled,P05:02e147d2f9cbc4927052d1a14f91d7d6643804f8d4f633c8125fa90e17b40f9f,phase=0.5 result=命中
already-sampled,P05:7624984b7af7cf9c4ec722bcd212fb58fae644b77c0a732cfa98c16285749731,phase=0.5 result=命中
already-sampled,P05:ecf4bdabcc74fa1898f83d478810a9f7676f5e0b84087f6c4c6aa326fa3e9f39,phase=0.5 result=命中
already-sampled,P05:06f1b13ecc5ed2fda4cccf41f165e7253546b9aa120dbaeede3140b04d8f9dd3,phase=0.5 result=未命中
already-sampled,P05:c9ff0ac9be75a9bfcecd5d9b8a2a1b2964aa373aeec5f7a5a0909824e8c334cf,phase=0.5 result=未命中
already-sampled,P05:a7b5a905ff3bfc190cf424073e2074fd780067be2ac425515c8565628f476011,phase=0.5 result=命中
already-sampled,P05:6232b8664e9f9dd9f6b31526f5f70d2277bbc5d5b2ff32cd89a688c07dcc41df,phase=0.5 result=命中
already-sampled,P05:88f1bd4145d19fcfe96040ec928a818102983b84e6fc9af749c8a692f546a4af,phase=0.5 result=命中
already-sampled,P05:df90762415061e23132ba5cd79296472ed4af8df9bd6d4fb72db9edf31162da5,phase=0.5 result=命中
already-sampled,P05:767ebd7d1b691da9f1ce1cddbd4b95e696604bed6a18d6b46348856644e7d16b,phase=0.5 result=命中
already-sampled,P05:8814971d9f81a809939bed070e9f59bec544f92c6dc25e25804a7a26ba330701,phase=0.5 result=命中
already-sampled,P05:07b18f4957cebe785043543c6588d54594af4315b2c1ab531d34f6126b8b9256,phase=0.5 result=命中
already-sampled,P05:233103768f06147e085e102113d73613b9ae3739182f920c63cfa7cb38abf1b0,phase=0.5 result=命中
already-sampled,P05:bdc2815f6ffb999e26b4e1ef05090de41b0594ba00862488485c55f7dd19211a,phase=0.5 result=命中
already-sampled,P05:5c74fdba4e820efcf8fc2ef977f5c7d9523a396d1b9453c68d579ae4a0eb5491,phase=0.5 result=命中
already-sampled,P05:2c61da34e02202d604b5985c45e00913ee0019224d03e57e1f245f54fb781990,phase=0.5 result=命中
already-sampled,P05:f81d75778cbc35eef3aa912e5c111a31c154378fd115e57554516e91d91573c1,phase=0.5 result=命中
already-sampled,P05:19f1ec2d709db9cc8d477394a468a54a132afb52033e754e3eddee701d216405,phase=0.5 result=命中
already-sampled,P05:82469d785aa41218389a6e47d65e29e766f750a54c8bf96d7224b1068dc98a0d,phase=0.5 result=命中
already-sampled,P05:89d76471063cc3f5866c3f34da372e6a5f5b74a560f945ce3324c130728f9f72,phase=0.5 result=命中
already-sampled,P05:0cf5aa2976a9cca94f280c4117ab230fb3e272100bba8cf1b95c6d653ddc8881,phase=0.5 result=命中
already-sampled,P05:603c3114d0e437824b6207780b20a9078099f06f49bff64d50aef5eb3de650a7,phase=0.5 result=命中
already-sampled,P05:6ee879f2147b6f3ce4d2e52e7357232514eeea975a5979f63f0c40c6b792dd4b,phase=0.5 result=命中
already-sampled,P05:d4b62d6b0137c92e98cedb8c7afe5e439982dfed50b451441257d0692b7aa3d1,phase=0.5 result=命中
already-sampled,P05:b59a275c732f919a1445b57eaf56201e4331298813fc99d90c271bf8a6f5603b,phase=0.5 result=命中
already-sampled,P05:1a10d4565aaebc30a216c6763373810d147703ffe6a70d920b02e92985c90791,phase=0.5 result=命中
already-sampled,P05:76f4d2af74ea6f01e8b3551458af92b01497ea4000e6e5d03731be8650212ce9,phase=0.5 result=命中
already-sampled,P05:05bf28eef0ed53e4cf9dab951d7a1636d6b1d5d64b6e8210605507bd95de4766,phase=0.5 result=命中
already-sampled,P05:96b6cd7bcb97d54d6b3e06de71e44c884904baaf4ccb70086f1573cb61debe26,phase=0.5 result=命中
already-sampled,P05:682158de6b20ca3f1d5487718f4af0c737b732c408b29121f83e265c04d9d099,phase=0.5 result=命中
already-sampled,P05:c6b3b43c4ffc58a34b8eb218af4d171afc4be6c2c4afa94528d76ff3b5842418,phase=0.5 result=命中
already-sampled,P05:9767d424e046609012d1d34d80f091638de4a2816704e7e6a7d9003117f2ceee,phase=0.5 result=命中
already-sampled,P05:8075e29065e969d244c4fac1c4b5df46ecf016d9eb1b3a2562b9a172193b2fc8,phase=0.5 result=命中
already-sampled,P05:6f56f17cda00c4f28f1965f18bcbdbf18b1aadac6d2324ec01a13496be74868a,phase=0.5 result=命中
already-sampled,P05:d6292e5a819a1e00f392c44732636725c3e7c2a418ccc11b9d6ce04cc5f0b00f,phase=0.5 result=命中
already-sampled,P05:6eb3a9118be3fb210eb81288007d92898830922fb11fe48cef08949619735d40,phase=0.5 result=命中
already-sampled,P05:5f4ce7ccc3230c36bb674abefec2630329c914f7cc764f4ae6ea6defeca7935e,phase=0.5 result=命中
already-sampled,P1:alias_map.csv:E1,phase=1 result=命中
already-sampled,P1:alias_map.csv:E2,phase=1 result=命中
already-sampled,P1:alias_map.csv:E7,phase=1 result=命中
already-sampled,P1:alias_map.csv:E8,phase=1 result=命中
already-sampled,P1:alias_map.csv:E11,phase=1 result=命中
already-sampled,P1:alias_map.csv:E14,phase=1 result=命中
already-sampled,P1:alias_map.csv:E14c,phase=1 result=命中
already-sampled,P1:alias_map.csv:E16,phase=1 result=命中
already-sampled,P1:alias_map.csv:E17,phase=1 result=命中
already-sampled,P1:alias_map.csv:E24,phase=1 result=命中
already-sampled,P1:alias_map.csv:E28,phase=1 result=命中
already-sampled,P1:alias_map.csv:E40,phase=1 result=命中
already-sampled,P1:alias_map.csv:E64,phase=1 result=命中
already-sampled,P1:alias_map.csv:E76,phase=1 result=命中
already-sampled,P1:alias_map.csv:E80,phase=1 result=命中
already-sampled,P1:alias_map.csv:E81,phase=1 result=命中
already-sampled,P1:alias_map.csv:E112,phase=1 result=命中
already-sampled,P1:alias_map.csv:X0,phase=1 result=命中
already-sampled,P1:alias_map.csv:X1,phase=1 result=命中
already-sampled,P1:alias_map.csv:X2a,phase=1 result=命中
already-sampled,P1:alias_map.csv:X2b,phase=1 result=命中
already-sampled,P1:alias_map.csv:X2c,phase=1 result=命中
already-sampled,P1:alias_map.csv:X2d,phase=1 result=命中
already-sampled,P1:alias_map.csv:X3,phase=1 result=命中
already-sampled,P1:alias_map.csv:X3c,phase=1 result=命中
already-sampled,P1:alias_map.csv:X4,phase=1 result=命中
already-sampled,P1:alias_map.csv:X5,phase=1 result=命中
already-sampled,P1:alias_map.csv:X6,phase=1 result=命中
already-sampled,P1:alias_map.csv:X6a,phase=1 result=命中
already-sampled,P1:alias_map.csv:X6b,phase=1 result=命中
already-sampled,P1:alias_map.csv:X6c,phase=1 result=命中
already-sampled,P1:alias_map.csv:G0,phase=1 result=命中
already-sampled,P1:alias_map.csv:G1,phase=1 result=命中
already-sampled,P1:alias_map.csv:G2,phase=1 result=命中
already-sampled,P1:alias_map.csv:G3,phase=1 result=命中
already-sampled,P1:alias_map.csv:G4,phase=1 result=命中
already-sampled,P1:alias_map.csv:G5,phase=1 result=命中
already-sampled,P1:alias_map.csv:G6,phase=1 result=命中
already-sampled,P1:alias_map.csv:W-1,phase=1 result=命中
already-sampled,P1:alias_map.csv:H1,phase=1 result=命中
already-sampled,P1:alias_map.csv:T1-1,phase=1 result=命中
already-sampled,P1:alias_map.csv:T2-1,phase=1 result=命中
already-sampled,P1:alias_map.csv:T3-1,phase=1 result=命中
already-sampled,P1:alias_map.csv:T4-4,phase=1 result=命中
already-sampled,P1:alias_map.csv:C6,phase=1 result=命中
already-sampled,P1:alias_map.csv:H-R1-1,phase=1 result=命中
already-sampled,P1:alias_map.csv:衔尾蛇,phase=1 result=命中
already-sampled,P1:alias_map.csv:猴子记忆库推演,phase=1 result=命中
already-sampled,P1:alias_map.csv:豆包9.9,phase=1 result=命中
already-sampled,P1:alias_map.csv:agora沙盒,phase=1 result=命中
already-sampled,P1:participants.csv:混元,phase=1 result=命中
already-sampled,P1:participants.csv:豆包,phase=1 result=命中
already-sampled,P1:participants.csv:DeepSeek,phase=1 result=命中
already-sampled,P1:participants.csv:codebuddy,phase=1 result=命中
