anchor,quote_head
猴子记忆库推演/自演化推演_实验总报告17轮后.md:15,| **架构层** | 公理 D（双平面）物理上不成立——审计链不含 payload，系统是四条平行真相。截断攻击完全检不出 |
猴子记忆库推演/自演化推演_实验总报告17轮后.md:98,系统实际是**四条平行真相**：`audit/`（事件指针）、`ledger/`（变更流水）、`memory/`（内容正本）、`state.
猴子记忆库推演/自演化推演_实验总报告17轮后.md:117,Merkle 根锚定**内容集合**，不锚定**序列长度**。截断后剩余各行仍自洽。`state` 中无 `chain_tip` 字段。
猴子记忆库推演/自演化推演_实验总报告17轮后.md:547,| 5 | `expand_links` 是死代码 | 链接到 `f{i}` 而世界里只有 `e{i}`，**该基因从未生效** | 前三轮
猴子记忆库推演/自演化推演_实验总报告17轮后.md:581,**方向性约束**：变更只能向上申请，不能向下修改。法层永远改不了元层——**系统无法修改评判自己的尺子**。
猴子记忆库推演/自演化推演_实验总报告17轮后.md:630,"13. **任何影响""是否被采纳""的参数必须冻结，或只能朝更严格方向演化**（E24 修正 E10）"
猴子记忆库推演/自演化推演_实验总报告17轮后.md:843,"终极安全机制不是""防止被腐蚀""，而是""**腐蚀发生时能被看见并停下来**""。"
大审查/混元/bootstrap_A轮_实验世界升级.md:12,给条目增加四个**表象特征**（长度、格式、关键词密度、有无引用）——它们与真值**完全无关**，但 judge 能看到
大审查/混元/bootstrap_A轮_实验世界升级.md:14,judge 打分中真值所占比例；`1-alpha` = 被表象影响的比例
大审查/混元/bootstrap_A轮_实验世界升级.md:27,展示权重从 0.503 涨到 2.195** —— 系统确实学会了堆表象
大审查/混元/bootstrap_A轮_实验世界升级.md:40,"这里 judge 的偏好从头到尾没变，它只是本来就在看表象——所以没有任何""漂移""可供检出"
大审查/混元/bootstrap_A轮_实验世界升级.md:44,这三者只有在它们独立于 judge 通道时才成立
大审查/混元/bootstrap_A轮_实验世界升级.md:50,"定期抽 8 个样本，由人直接判断""这个结果对我有没有用""（不是""看起来好不好""），真值退化则回退"
大审查/混元/bootstrap_A轮_实验世界升级.md:69,"这是本轮唯一的好消息，也是最贵的一条**：它需要**人直接评估结果的有用性**，而不是评估""哪个选项更好""。前者无法委派给 judge，后者"
大审查/混元/bootstrap_A轮_实验世界升级.md:71,"注意力预算的主要支出不是""标注偏好""，而是""验收结果""**。这修正了 EV-03/EV-04 的设计重心"
大审查/混元/bootstrap_A轮_实验世界升级.md:87,真实系统能生成的任务是无限维的，实际损失可能远大于此
大审查/混元/bootstrap_A轮_实验世界升级.md:106,原因：伪特征与真信号**独立**时，系统可以纯粹地堆伪特征而不影响真信号，留出集门挡不住（因为训练/留出上它都涨）；**强相关**时，堆伪特
大审查/混元/bootstrap_A轮_实验世界升级.md:110,有门时相关性越高，伪特征权重被压得越低（0.747 → 0.050），说明门确实在工作
大审查/混元/bootstrap_A轮_实验世界升级.md:120,"EV-19（P0）** | **真值抽样审计**：每 N 代由人直接判断""结果有没有用""，退化则回退"
