lit_id,paper_id,batch,source_file,anchor,verbatim_quote,row_type,mechanism_type,testability,external_claim_numbers,status
68d234ce759a23a3f6dc9ab0133a94fbacdf7fe721838eebbe2dabd4543fbc49,A1,旧33,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:20,- **简介**：把操作系统的虚拟内存思想引入 LLM——主上下文与外部存储之间由 agent 自主分页，通过中断驱动的自编辑记忆管理有限上下文窗口。分层记忆路线的奠基作。,简介,A派-分层记忆OS,,,
d0e39697a4a54ee93a5e53250d6c0d35f54df961d62a4f31a02e83e2729586de,A1,旧33,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:21,- **落地**：`T2-弱`。**实际用途**：intermediate/longterm 两级目录 + attic 出仓对应「外部存储分层」；**分页换入换出、中断驱动、自编辑记忆均未实现**（代码无相关机制）。,落地,A派-分层记忆OS,Y,,
5e005325c3b2f971ae7d45071e30f08a3030f98b21b321abd413912315ddde01,A14,旧33,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:26,- **简介**：为 agent 设计记忆操作系统：短/中/长期三级存储池，仿 OS 的页调度机制管理记忆的换入换出。注意与 MemTensor 的 MemOS（A16）及 PyPI 的 memoryos 包是三个不同实体——本领域存在持久命名撞车。,简介,A派-分层记忆OS,,,
7f41cc385dc521c1881efc4a0ad2b74dc1bb6da172ae8565d56228a05d8bfe0c,A14,旧33,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:27,- **落地**：`T3`（命名消歧 + 规划挂账）。**实际用途**：用于与 A16 命名消歧；当前**仅有两级目录 + attic，热温冷三池、页调度、热度逐出均未实现**（`index_hot_budget=200` 是登记参数、未接线），列为规划方向，由 m-radar 跟踪重评。,落地,A派-分层记忆OS,N,,
8b2c797ba2f45f776588c50fc74cbdbd9aee4d3e1a7e74f995e839953b7a02f5,A16,旧33,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:32,- **简介**：把记忆提升为系统级资源统一调度：MemCube 封装明文记忆、激活记忆（KV-cache）与参数记忆三类，带来源/版本元数据与生命周期管理。,简介,A派-分层记忆OS,,,
1509e51e765d73f8b3db4ac5d2af6fd289f1df4b4f9778ee42b113b05b191c96,A16,旧33,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:33,- **落地**：`T1-弱`。**实际用途**：schema 的 source_event_id / 时间戳 / validity 即「内容+来源元数据」对应；明文/激活/参数**三类记忆未建模**（当前仅明文 JSON）。,落地,A派-分层记忆OS,Y,,
362c4c81b489c8189a63c4101634f7ae6129e75a91b1eb59385826f30d5a7d35,A18,旧33,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:37,- **简介**：多 agent 记忆系统，提出六类记忆分类：Core、Episodic、Semantic、Procedural、Resource 与 Knowledge Vault（加密敏感存储）。,简介,A派-分层记忆OS,,,
47317f8dcb1b0fb99e816374683bcc44afd4cf0bd37bf52ee68acac0bc766d3a,A18,旧33,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:38,- **落地**：`T1-部分`。**实际用途**：仅落地 **Knowledge Vault 缺位决策**——铁律 5 密钥扫描保证敏感信息不入库；**六类记忆分类未建模**（原「六类映射表 D-004」查无此件，已删）。,落地,A派-分层记忆OS,Y,,
03a0f280cd206cf95ed2dc06edfd8fc05ea584cff9d09165bf646e14dc69063c,A12,旧33,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:42,- **简介**：面向生产的长时记忆层：抽取-整合双管线，对对话内容做去重、合并与增量更新后写入记忆存储。,简介,B派-管线抽取,,,
36ae488311053b3b57b2debd3125ebf4b6f2746274b36484bbdbd05061ff0f8c,A12,旧33,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:43,- **落地**：`T2-弱`。**实际用途**：wrap-up 内容体以提示词纪律要求 harness/人做经验抽取与整合；**引擎不自动抽取/去重/合并**（无 update/merge 操作；同 id 覆盖被 J-001 拒绝）。,落地,B派-管线抽取,Y,,
