claim_id,experiment_id,death_cause,matched_keyword,quote_head
e004c6e06b60b8b30b62a81b943ea397863392a875620a79b4fc30e4c6c581df,DS-D8,DC-7 机制零效应/无效,该形态阴性,nf T .417 vs audit3 .435 | 该形态阴性；分层（早警-确认-惩罚）最优
58ae69f2a8b0e6809f8217bc8f05d13fd9ec1535d25906c0cce036695753f1c0,SIM-E86,DC-7 机制零效应/无效,与预期相反,结果与预期相反**：维度 4 时展示权重飙到 **6.605**、真值转负（−0.025）；维度 64 时展示权重只有 
545206f87002cc76544533ac9f9c7c932a20ce8e8c45ef6149171e1ee7260230,SIM-E86,DC-0 未归类,,给系统更多可操纵维度，反而让它更难找到操纵路径**（在变异是单点扰动的条件下
aae3cead4268dc0a9d57aa684244d42f491730cbbc691e579f3dcda67fcf5924,SIM-E89,DC-0 未归类,,低污染（20%）下，正确性判断几乎不受损（97.8%），而偏好判断已崩到 67.5%
ac5d142384b0dcf825eaecfa747f456bc9360b6c7d98e77043533374c90f00b8,SIM-E95b,DC-2 人工构造/地形产物,构造所污染,这个比较被我自己的目标函数构造所污染，不能作为 cap 的证据
76d1aa452f34028fab6f71ceb1158a19c9e2c31527811443143e0f7e4c6ea811,SIM-E105,DC-2 人工构造/地形产物,不可直接采信,两者在模型里不对称**，所以 E105 的排序不可直接采信
c43f319a3394efb227406bd2f8bda91113769c39128cb090752a32553abed0d4,SIM-E109,DC-0 未归类,,审计在兜底**。大幅变异产生大量坏配置，但审计把它们挡住并回退
c103b944e952c91f212ffcf2ee58d365b681b028120957701eaf6f9d60b0bdf6,SIM-E108,DC-0 未归类,,如果审计失效，大幅度会是最危险的
e455028627fc9c11613daf9bd1341d07ae368ccca003531298833826c83153da,SIM-E127,DC-7 机制零效应/无效,完全无效,"strict 完全无效**：结果与 danger 逐位相同。原因：回退次数仅 0.5，审计几乎不触发，""基线只增不减""没"
6b5f7d230ce006d6590b8bba063d7d4c5f407cf6ac5b00acb7a2ddc925cdfbbc,SIM-E27,DC-7 机制零效应/无效,几乎无差,回滚到历史配置应对漂移 | E27（+0.024 vs 继续演化 +0.022，几乎无差）
e0b9fbe3960d34fc29e2e1c766926a8bd64d2faf9509c7498ba1d55c19df98db,SIM-E27,DC-0 未归类,,重锚 ≠ 回滚**（E27 已证回滚几乎无效 +0.024
3313e59d06510751e8947714d43023033bf30a3d925c7c3345e8bd588ee0ee1e,SIM-E27,DC-7 机制零效应/无效,无收益,回滚到历史配置 | E27（+0.024 vs 继续演化 +0.022，无收益）
06de35fd816506771190fd2f40b6ed1d3a5bfcd555dc5ba1c287f8e3158bbb99,GLM-WO-v3.8,DC-5 工件实现缺陷,双反斜杠,是**双反斜杠**替换；Windows 上 absorb 产出的 `src` 为单反斜杠 → 渲染文件清单恒空
115ce39cc86cb5b1ee4f4094e7c44f315fb1ff61154d0c3b0854927e0359502e,REVIEW-混元,DC-6 工程杠杆错位,93% 代码不在解真正的题,93% 代码不在解真正的题；核心三件套 165 行=6.8%；内容分发>核心——最高杠杆是删掉一半
7733b4b5a2eee4a81b5cc900a2f2cc07b861634524e46b880ed44ca4820dae8c,QWEN-v3.8,DC-5 工件实现缺陷,语法检查,1 个 P0 阻断**：交付的 `.py` 本身无法通过语法检查（含多处词法断裂、`__`/`*` 丢失、未注释的中文行
5cc0583159869ad2b9e19d2e4625edf8f1617639f127c28af9a7e46e821f7e26,DB-AGORA,DC-0 未归类,,"我原以为""先组内聚合、再组间聚合""的分层流程天然更鲁棒"
3c5efedfd5d94b1f3791ebcaf91f8c17a5bb543c4bebd9956e90d176c5a5e5c1,CB-MEMEVOLVE,DC-1 换构造/换引擎未复现,未复现,"预算 < 150 时终局为负""未复现**：本沙盒的预算模型只限制代数"
0d2d1e0199041e55e31552d4ca8509e754c377048c0176b2717870a0c1609c1f,CB-MEMEVOLVE,DC-1 换构造/换引擎未复现,未复现,"E64 预算 < 150 终局恒为负 | **未复现** | 预算模型缺少""演化的固定成本""项，结构上不可能为负"
43d9319df9d86d495e5b7f65d2f82a9361b62b77dc56085960d1e45f1f378f27,CB-MEMEVOLVE,DC-1 换构造/换引擎未复现,未复现,"**E52 未复现**（报告称 70% 独立噪声几乎无损）：本沙盒噪声是""把金标替换成随机条目"
ff72147fe1be9d684dbbf894a369d2dba5523aba3bbdb899465286cc4760c3f7,CB-MEMEVOLVE,DC-7 机制零效应/无效,未确认超线性,E64 超线性价格**：只确认收益递减，未确认超线性
4415e2de0f0149c9f0d53406e28acb01350d68a4e915edc8045d3d759c10afcb,PART2-H-R1-2,DC-3 预注册判据/阈值失误,REFUTED,"1,H-R1-2,DATA-DRIVEN,参数,0.4760,0.55,0.08,-0.0185,REFUTED,""仅k"
5ab53a7b7f5d6eed28194895998801809f393e6d1aa29ebaac213d6dfc277d12,PART2-H-R2-1,DC-3 预注册判据/阈值失误,REFUTED,"2,H-R2-1,LIT-REPLICATE,边界,0.5457,0.7,0.10,0.4611,REFUTED,二次平"
c231841e3c0f56cd777c1d478708bc62cd0c7077b95d3febe8376b0be0b0c0b5,PART2-H-R10-2,DC-3 预注册判据/阈值失误,REFUTED,"10,H-R10-2,NARRATIVE-DRIVEN,机制,0.5333,0.65,0.05,0.5333,REFUT"
f172402b1460a1b97845c0bb4ea7739e9ba18cba711f4c068e1055a051a38418,PART2-H-R12-1,DC-3 预注册判据/阈值失误,REFUTED,"12,H-R12-1,DATA-DRIVEN,证伪,0.6882,0.35,0.05,0.6882,REFUTED,""A"
153606a4381afcce5bec56fe2532196c8037c2e6545651c9645923a6650ac2eb,R2-T1-2a,DC-3 预注册判据/阈值失误,判据 a（,"判据 a（只自写≥全库 80%）**不成立**：按""作者身份""分层切不对——低 rv 不是 junk 的唯一伤害面，自抬"
6001982beeaef8a1c3125d2c33fc23c7c6da095b85bc3ab0fe925cec5adc5a53,R2-T1-2b,DC-3 预注册判据/阈值失误,判据 b（,"判据 b（混合裁判 N4≥纯真值 80%）**不成立**：α=0.3 的 judge 连""挑出待整理候选""都做不好（E1"
338f3fb263dc2a21b8a867e04cf9b1e034466d9dcb0fa35555a6657daefa189f,R2-T1-3,DC-3 预注册判据/阈值失误,强形式失败,gain≥−0.03 成立、均质≥0.35 不成立 → **强形式失败**
8e8a49af4f12b405984665973874694af6d27d7f9bb3791804afe68f0893aaaf,R2-T2-2,DC-4 结构前提不成立,结构性不可达,"全部 ≥ static（0.0813）。**三振**：与 deepseek 探针 6、R1-2 并列，""E80 负交互在"
48c033b9fc1f3cf7cf048ee541a063ee1ac851765c8a87ba7ea29604c0103a69,R2-T3-2b,DC-1 换构造/换引擎未复现,未在本,"E41 原始""严格 +0.165 反而更好""未在本网格任何地形复现**→ C2 裁决为部分关闭：谷地形下宽松严格立判（E"
