L_level,mech_id,why
L0,MECH-01,空白-没人做过
L2,MECH-01,空白-没人做过
L0,MECH-02,空白-没人做过
L0,MECH-03,空白-没人做过
L1,MECH-03,空白-没人做过
L2,MECH-03,空白-没人做过
L0,MECH-04,空白-没人做过
L1,MECH-04,空白-没人做过
L2,MECH-04,空白-没人做过
L3,MECH-04,空白-没人做过
L0,MECH-05,空白-没人做过
L0,MECH-06,空白-没人做过
L1,MECH-06,空白-没人做过
L2,MECH-06,空白-没人做过
L0,MECH-07,空白-没人做过
L1,MECH-07,空白-没人做过
L2,MECH-07,空白-没人做过
L0,MECH-08,空白-没人做过
L1,MECH-08,空白-没人做过
L2,MECH-08,空白-没人做过
L0,MECH-09,空白-没人做过
L1,MECH-09,空白-没人做过
L0,MECH-10,空白-没人做过
L1,MECH-10,空白-没人做过
L2,MECH-10,空白-没人做过
L0,MECH-11,空白-没人做过
L1,MECH-11,空白-没人做过
L2,MECH-11,空白-没人做过
L3,MECH-11,空白-没人做过
L4,MECH-11,空白-没人做过
L0,MECH-12,空白-没人做过
L2,MECH-12,空白-没人做过
L0,MECH-13,空白-没人做过
L1,MECH-13,空白-没人做过
L2,MECH-13,空白-没人做过
L3,MECH-13,空白-没人做过
L4,MECH-13,空白-没人做过
L0,MECH-14,空白-没人做过
L1,MECH-14,空白-没人做过
L2,MECH-14,空白-没人做过
L3,MECH-14,空白-没人做过
L4,MECH-14,空白-没人做过
L0,MECH-15,空白-没人做过
L0,MECH-16,空白-没人做过
L0,MECH-17,空白-没人做过
L1,MECH-17,空白-没人做过
L2,MECH-17,空白-没人做过
L0,MECH-18,空白-没人做过
L1,MECH-18,空白-没人做过
L2,MECH-18,空白-没人做过
L0,MECH-19,空白-没人做过
L1,MECH-19,空白-没人做过
L2,MECH-19,空白-没人做过
L0,MECH-20,空白-没人做过
L1,MECH-20,空白-没人做过
L2,MECH-20,空白-没人做过
L0,MECH-21,空白-没人做过
L1,MECH-21,空白-没人做过
L2,MECH-21,空白-没人做过
L0,MECH-22,空白-没人做过
L1,MECH-22,空白-没人做过
L2,MECH-22,空白-没人做过
L3,MECH-22,空白-没人做过
L0,MECH-23,空白-没人做过
L1,MECH-23,空白-没人做过
L2,MECH-23,空白-没人做过
L0,MECH-24,空白-没人做过
L1,MECH-24,空白-没人做过
L2,MECH-24,空白-没人做过
L0,MECH-25,空白-没人做过
L2,MECH-25,空白-没人做过
L0,MECH-27,空白-没人做过
L1,MECH-27,空白-没人做过
L2,MECH-27,空白-没人做过
L0,MECH-28,空白-没人做过
L1,MECH-28,空白-没人做过
L2,MECH-28,空白-没人做过
L0,MECH-29,被证伪后放弃
L1,MECH-29,被证伪后放弃
L2,MECH-29,被证伪后放弃
L3,MECH-29,被证伪后放弃
L0,MECH-30,被证伪后放弃
L0,MECH-31,被证伪后放弃
L1,MECH-31,被证伪后放弃
L2,MECH-31,被证伪后放弃
L0,MECH-32,被证伪后放弃
L1,MECH-32,被证伪后放弃
L0,MECH-33,被证伪后放弃
L1,MECH-33,被证伪后放弃
L0,MECH-34,被证伪后放弃
L0,MECH-35,被证伪后放弃
L1,MECH-35,被证伪后放弃
L2,MECH-35,被证伪后放弃
L3,MECH-35,被证伪后放弃
L0,MECH-36,被证伪后放弃
L0,MECH-37,被证伪后放弃
L0,MECH-38,被证伪后放弃
L1,MECH-38,被证伪后放弃
L2,MECH-38,被证伪后放弃
L3,MECH-38,被证伪后放弃
L0,MECH-39,被证伪后放弃
L1,MECH-39,被证伪后放弃
L2,MECH-39,被证伪后放弃
L0,MECH-40,被证伪后放弃
L0,MECH-41,空白-没人做过
L1,MECH-41,空白-没人做过
L2,MECH-41,空白-没人做过
L0,MECH-42,空白-没人做过
L1,MECH-42,空白-没人做过
L2,MECH-42,空白-没人做过
L0,MECH-43,空白-没人做过
L1,MECH-43,空白-没人做过
L2,MECH-43,空白-没人做过
L3,MECH-43,空白-没人做过
L0,MECH-44,空白-没人做过
L1,MECH-44,空白-没人做过
L2,MECH-44,空白-没人做过
L0,MECH-45,空白-没人做过
L1,MECH-45,空白-没人做过
L2,MECH-45,空白-没人做过
