实验ID,事故描述摘录,涉及机制,死因分类
方法论-01,无死规则下LLM提取判断方差：四口径不一致率57.3%-58.9%，断言级保真100%但枚举不可复现（可复现性方差，非真实性污染）,提取判据缺位（密度基准/type-status边界/版本对规则未入操作定义）,门设计缺陷（单阈值混两种失败模式）——非事故·方法论发现
方法论-01,无死规则下LLM提取判断方差：四口径不一致率57.3%-58.9%，断言级保真100%但枚举不可复现（可复现性方差，非真实性污染）,提取判据缺位（密度基准/type-status边界/版本对规则未入操作定义）,门设计缺陷（单阈值混两种失败模式）——非事故·方法论发现
SIM-E14,| **14** | **评判者漂移** | **自报 +0.51，真实 −0.09** | **决定性** |,MECH-03,INC-02
DS-P3,"E81 复现**：锚定集/锚定审计若来自同一个被表象污染的 judge（""judge 自洽性""检查），**0 次触发",MECH-03/18,INC-03
SIM-E40,"有漂移时 v3 退化到 −0.1124——比它自己的起点还差，即""跑完一整套演化，产物不如不演化""，而内部指标全绿。**",-,INC-04
DS-R1-3,并发丢更新**：引擎若多进程演化（多主线并发写），importance_accum（反思触发输入）会静默少计 → 反思/衰减机制在并发下失真。本系列引擎单进程顺序写不受影响；但真实部署需原子读-改-写或事件溯源内核,-,INC-05
DS-R1-3,v3 两 P0 复现：并发 append accum=55/60（丢更新）；审计截断后链连续+根自洽（密码学静默）——完整性断言不能只靠链/根，建议 chain_tip + 单写者/事件溯源,MECH-13/25,INC-06
SIM-E112,展示权重爆炸到 7–27（40×），回退几乎不变 → **收益含水分**,MECH-40,INC-07
SIM-E24,margin 被降到 −0.04；自由+bootstrap = 唯一负值**,MECH-38,INC-08
SIM-E95b,这个比较被我自己的目标函数构造所污染，不能作为 cap 的证据,-,INC-09
*,**E2 受控** | L6–L7 | E1 + 链接重组算子（参数稳定门）+ 实测重要度 | E1 全部 + 采纳日志过冷启动门槛 | X6b：过早重组被参数演化作废（2/8 受伤）；X6c：稀疏采纳期实测重要度劣于自称,MECH-23,INC-10
VERIF-X5,自我推翻计数口径不统一**：报告头「15 次自我推翻」vs 摘要「14 次判断」vs 第四部分表题「七次自我推翻」（表实为 7 行）。分轮文档缺席无法核全账,-,INC-11
PART2-FINAL,三次流程违规（R2 时序、R7 FAIL 后执行、R12 heredoc 断链）全部因账本可查而暴露；R11 hash 手抄事故也因同命令打印 sha256sum 当场现形。**登记层自身也会错，必须给登记配验证**,-,INC-12
PART2-PREREG-7,初稿手算两处错（A 早斜率 0.019→**0.0150**；B 0.13→**0.1400**——分子求和错误），自测门 FAIL 抓出。另：合成层 n=2<10 守卫触发时 H1 期望=INCONCLUSIVE（初稿误写 REFUTED——守卫分支先于阈值分支）。,-,INC-13
DEPLOY-V39,filter_zero=1 首应用 recall@5 劣化 0.485→0.394（真实查询有零词法交叠金标，importance 通道是召回保底）；默认回撤为 0，修订版 c265530d 复测与基线逐位一致。合成世界「双世界复现」被判定为查询构造假象——重大方法论教训：合成证据外推默认值必须过真实库验收,MECH-16,INC-14
DEPLOY-V32,DGM(arXiv:2505.22954) Appendix F：agent 删除特殊标记日志绕过幻觉检测刷分(objective hacking)，实证不隐藏检查函数时 hacking 显著频发——故立三守卫,-,INC-15
SIM-E34,阈值 0.95 无漂移时 92% 误报；0.85 零误报**,MECH-03,INC-16
SIM-E91,E91 零乘锁死**：变异用 `w * choice([...])`，起点为 0 时永远是 0 → 表象权重恒为 0，实验完全无效,-,INC-17
KB-TASK-014,os.chdir(tmp)` 未恢复，污染后续三条测试的相对路径（交付 0 个/absorb_mapping 找不到 bodies）——chdir 保存/恢复修复。教训：测试内改全局状态必须对称恢复,-,INC-18
KB-TASK-018,patch 脚本把所有 rep 攒到最后一次 write——中途 assert 失败=全部修改静默丢弃（patch B 教训）→ b2 改为幂等重放（if 条件防重复），但 if 条件被测试 fixture 的同款字样误判（第二次教训：幂等判据要用唯一锚点）,-,INC-19
CB-MEMEVOLVE,收益几乎全部来自护栏；而护栏本身需要标定，未标定的护栏是伤害源（零漂移时 11/12 误报、净损失 0.127,MECH-01族,INC-20
SIM-E8,自报 0.094 vs 真实 0.025（3.7×）,MECH-04,INC-21
SIM-CODEAUDIT,1. **自测结论写死**：`cmd_run_tests` 用 `except Exception`，捕获不到 `SystemExit`（BaseException），而全文件 24 处 `sys.exit` 是唯一错误通道。干净检出下跑到第 10 个用例静默中止。,-,INC-22
REVIEW-豆包,Merkle 定级 P0 与自认「不可利用」存在张力（应降 P2），部分行号在 v3.8.2 已漂移,-,INC-23
DEPLOY-V39,已知 bug（已回传混元线）：pilot 首跑静默丢数据（脚本已预创建文件绕过）；seq 跨会话撞号（已一次性重编号）,-,INC-24
