paper_id,name_token,type,cited_in_anchors,fulltext_in_workspace,note
A1,MemGPT: Towards LLMs as Operating System,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:20;knowledge/references/sota-memory-radar.md:12,N,
A2,Generative Agents: Interactive Simulacra,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:103;knowledge/references/sota-memory-radar.md:34,N,
A3,Reflexion: Language Agents with Verbal R,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:108;knowledge/references/sota-memory-radar.md:36,N,
A4,Cognitive Architectures for Language Age,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:98;knowledge/references/sota-memory-radar.md:33,N,
A5,Voyager: An Open-Ended Embodied Agent wi,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:118,N,
A6,MemoryBank: Enhancing Large Language Mod,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:59;knowledge/references/sota-memory-radar.md:41,N,
A7,A Survey on the Memory Mechanism of Larg,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:200,N,
A8,HippoRAG: Neurobiologically Inspired Lon,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:71,N,
A9,HippoRAG 2: From RAG to Memory: Non-Para,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:76,N,
A10,A-MEM: Agentic Memory for LLM Agents,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:64;knowledge/references/sota-memory-radar.md:35,N,
A11,Zep: A Temporal Knowledge Graph Architec,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:81;knowledge/references/sota-memory-radar.md:27,N,
A12,Mem0: Building Production-Ready AI Agent,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:42;knowledge/references/sota-memory-radar.md:19,N,
A13,Sleep-time Compute: Beyond Inference Sca,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:140;knowledge/references/sota-memory-radar.md:43,N,
A14,Memory OS of AI Agent,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:26;knowledge/references/sota-memory-radar.md:13,N,
A15,G-Memory: Tracing Hierarchical Memory fo,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:86;knowledge/references/sota-memory-radar.md:28,N,
A16,MemOS: A Memory OS for AI System,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:32;knowledge/references/sota-memory-radar.md:14,N,
A17,MemAgent: Reshaping Long-Context LLM wit,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:91;knowledge/references/sota-memory-radar.md:48,N,
A18,MIRIX: Multi-Agent Memory System,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:37,N,
A19,Memory-R1: Enhancing LLM Agents to Manag,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:135;knowledge/references/sota-memory-radar.md:20,N,
A20,LightMem: Lightweight and Efficient Memo,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:54;knowledge/references/sota-memory-radar.md:42,N,
A21,The Darwin Gödel Machine: Open-Ended Evo,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:125,N,
A22,A Survey of Self-Evolving Agents: On Pat,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:130,N,
A23,Improving Factuality and Reasoning throu,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:113,N,
A24,《仿生认知架构,用户内部文档,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:179,Y(提取本),attic/_bca_extract.txt 在位；原始 doc 形态未考
A25,Context Rot: How Increasing Input Tokens,官方文档/技术报告,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:185,N,
A26,OpenClaw / Letta 官方文档,官方文档/技术报告,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:190;knowledge/references/sota-memory-radar.md:54,N,
A27,MemInsight: Autonomous Memory Augmentati,论文,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:48;knowledge/references/sota-memory-radar.md:21,N,
A28,Manus 官方资料：Context Engineering for AI Ag,官方文档/技术报告,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:195;knowledge/references/sota-memory-radar.md:56,N,
A29,Why there are complementary learning sys,经典文献,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:148,N,
A30,A Cognitive Theory of Consciousness,经典文献,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:154,N,
A31,The Somatic Marker Hypothesis,经典文献,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:160,N,
A32,A default mode of brain function,经典文献,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:166,N,
A33,Mood and Memory,经典文献,library-bootstrap-v3.0/review-20260908/引用论文总表_修订版.md:172,N,
RADAR-X1,Anthropic memory tool,官方文档/技术报告,knowledge/references/sota-memory-radar.md:55,N,雷达独有条目，不在33系统内
