L_level,mech_id,mech_name,cell_status,basis
L0,MECH-01,两级门控（宽松准入+严格晋升）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-01,两级门控（宽松准入+严格晋升）,已实现且已验,门控决定L1采纳（E7/E13系；DS-R1-2门控退化对照）
L2,MECH-01,两级门控（宽松准入+严格晋升）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-01,两级门控（宽松准入+严格晋升）,已实现且已验,自有层（phase7 定级）+ registry active
L4,MECH-01,两级门控（宽松准入+严格晋升）,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-01,两级门控（宽松准入+严格晋升）,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-02,Pareto 档案,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-02,Pareto 档案,已实现且已验,自有层（phase7 定级）+ registry active
L2,MECH-02,Pareto 档案,因果不可达,写路径半序：向上不可达（guide §一.2）
L3,MECH-02,Pareto 档案,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-02,Pareto 档案,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-02,Pareto 档案,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-03,锚定审计,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-03,锚定审计,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-03,锚定审计,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-03,锚定审计,已实现且已验,自有层（phase7 定级）+ registry active
L4,MECH-03,锚定审计,已实现且已验,锚定审计检出L4漂移8/8（E14），同源失效边界已知（E81）
L5,MECH-03,锚定审计,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-04,留出集轮换,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-04,留出集轮换,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-04,留出集轮换,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-04,留出集轮换,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L4,MECH-04,留出集轮换,已实现存疑,自有层（phase7 定级）+ registry active
L5,MECH-04,留出集轮换,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-05,廉价筛选只淘汰,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-05,廉价筛选只淘汰,已实现存疑,自有层（phase7 定级）+ registry active
L2,MECH-05,廉价筛选只淘汰,因果不可达,写路径半序：向上不可达（guide §一.2）
L3,MECH-05,廉价筛选只淘汰,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-05,廉价筛选只淘汰,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-05,廉价筛选只淘汰,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-06,bootstrap 显著性判据,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-06,bootstrap 显著性判据,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-06,bootstrap 显著性判据,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-06,bootstrap 显著性判据,已实现存疑,自有层（phase7 定级）+ registry active
L4,MECH-06,bootstrap 显著性判据,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-06,bootstrap 显著性判据,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-07,停摆监控器,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-07,停摆监控器,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-07,停摆监控器,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-07,停摆监控器,已实现存疑,自有层（phase7 定级）+ registry active
L4,MECH-07,停摆监控器,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-07,停摆监控器,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-08,平台期三态判别,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-08,平台期三态判别,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-08,平台期三态判别,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-08,平台期三态判别,已实现且已验,自有层（phase7 定级）+ registry active
L4,MECH-08,平台期三态判别,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-08,平台期三态判别,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-09,最大差异采样,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-09,最大差异采样,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-09,最大差异采样,已实现存疑,自有层（phase7 定级）+ registry active
L3,MECH-09,最大差异采样,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-09,最大差异采样,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-09,最大差异采样,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-10,锚定样本永不衰减,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-10,锚定样本永不衰减,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-10,锚定样本永不衰减,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-10,锚定样本永不衰减,已实现存疑,自有层（phase7 定级）+ registry active
L4,MECH-10,锚定样本永不衰减,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-10,锚定样本永不衰减,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-11,元层人侧签名,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-11,元层人侧签名,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-11,元层人侧签名,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-11,元层人侧签名,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L4,MECH-11,元层人侧签名,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L5,MECH-11,元层人侧签名,已实现存疑,自有层（phase7 定级）+ registry active
L0,MECH-12,事件溯源内核,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-12,事件溯源内核,已实现且已验,事件溯源保L1完整性（REAL-X4四项全胜）
L2,MECH-12,事件溯源内核,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-12,事件溯源内核,已实现且已验,自有层（phase7 定级）+ registry active
L4,MECH-12,事件溯源内核,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-12,事件溯源内核,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-13,git 后端,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-13,git 后端,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-13,git 后端,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-13,git 后端,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L4,MECH-13,git 后端,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L5,MECH-13,git 后端,已实现存疑,GPG签名=人类令牌（registry note）
L0,MECH-14,能力式安全,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-14,能力式安全,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-14,能力式安全,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-14,能力式安全,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L4,MECH-14,能力式安全,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L5,MECH-14,能力式安全,已实现且已验,能力式安全：违反铁律写不进去 5/5（DS-P4）——执法路径向上
L0,MECH-15,实测重要度（importance 派生化）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-15,实测重要度（importance 派生化）,已实现且已验,自有层（phase7 定级）+ registry active
L2,MECH-15,实测重要度（importance 派生化）,因果不可达,写路径半序：向上不可达（guide §一.2）
L3,MECH-15,实测重要度（importance 派生化）,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-15,实测重要度（importance 派生化）,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-15,实测重要度（importance 派生化）,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-16,filter_zero 零命中过滤,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-16,filter_zero 零命中过滤,已实现且已验,自有层（phase7 定级）+ registry active
L2,MECH-16,filter_zero 零命中过滤,因果不可达,写路径半序：向上不可达（guide §一.2）
L3,MECH-16,filter_zero 零命中过滤,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-16,filter_zero 零命中过滤,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-16,filter_zero 零命中过滤,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-17,极简集（审计+Pareto）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-17,极简集（审计+Pareto）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-17,极简集（审计+Pareto）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-17,极简集（审计+Pareto）,已实现存疑,自有层（phase7 定级）+ registry active
L4,MECH-17,极简集（审计+Pareto）,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-17,极简集（审计+Pareto）,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-18,真值抽样审计,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-18,真值抽样审计,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-18,真值抽样审计,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-18,真值抽样审计,已实现且已验,自有层（phase7 定级）+ registry active
L4,MECH-18,真值抽样审计,已实现且已验,真值抽样≤3代检出（E81c，DS复现）——观测路径向上
L5,MECH-18,真值抽样审计,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-19,假设级 τ 早警,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-19,假设级 τ 早警,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-19,假设级 τ 早警,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-19,假设级 τ 早警,已实现存疑,自有层（phase7 定级）+ registry active
L4,MECH-19,假设级 τ 早警,已实现存疑,DS线漂移信号族（D4，单宇宙）
L5,MECH-19,假设级 τ 早警,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-20,gap 统计,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-20,gap 统计,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-20,gap 统计,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-20,gap 统计,已实现存疑,自有层（phase7 定级）+ registry active
L4,MECH-20,gap 统计,已实现存疑,DS线gap统计（D2，单宇宙）
L5,MECH-20,gap 统计,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-21,多源分歧信号,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-21,多源分歧信号,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-21,多源分歧信号,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-21,多源分歧信号,已实现存疑,自有层（phase7 定级）+ registry active
L4,MECH-21,多源分歧信号,已实现存疑,DS线多源分歧信号（D1，单宇宙）
L5,MECH-21,多源分歧信号,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-22,伪特征自限定（定理候选）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-22,伪特征自限定（定理候选）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-22,伪特征自限定（定理候选）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-22,伪特征自限定（定理候选）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L4,MECH-22,伪特征自限定（定理候选）,已实现且已验,自有层（phase7 定级）+ registry active
L5,MECH-22,伪特征自限定（定理候选）,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-23,重组算子参数稳定门,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-23,重组算子参数稳定门,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-23,重组算子参数稳定门,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-23,重组算子参数稳定门,已实现存疑,自有层（phase7 定级）+ registry active
L4,MECH-23,重组算子参数稳定门,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-23,重组算子参数稳定门,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-24,w_age 病灶（发现）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-24,w_age 病灶（发现）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-24,w_age 病灶（发现）,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-24,w_age 病灶（发现）,已实现存疑,自有层（phase7 定级）+ registry active
L4,MECH-24,w_age 病灶（发现）,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-24,w_age 病灶（发现）,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-25,hardened doctor 截断检出,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-25,hardened doctor 截断检出,已实现且已验,doctor检出L1写入损坏4/4（T4-4）
L2,MECH-25,hardened doctor 截断检出,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-25,hardened doctor 截断检出,已实现且已验,自有层（phase7 定级）+ registry active
L4,MECH-25,hardened doctor 截断检出,因果不可达,写路径半序：向上不可达（guide §一.2）
