round,hypotheses_n,source_type_split,priors,hits,novelty_flags,directions,eval_count_used,toolbox_extensions,confirm_vs_disconfirm,divergence_mean,red_team_triggered,boundary_conditions_total,review_at_round,review_clusters_found,review_refuted_common_cause,REVIEW_DRIVEN_n,note_free
1,3,DDD,"0.45,0.55,0.5","1,0,1",0,机制/参数/机制,2040,1,2:1,0.4778,0,3,0,0,,0,
2,2,LL,"0.7,0.6","0,0",0,边界/边界,21000,1,1:1,0.4478,0,2,0,0,,0,
3,3,LLL,"0.75,0.65,0.6","1,0,0",0,机制/机制/机制,15000,1,2:1,0.3806,0,3,0,0,,0,
4,2,DD,"0.45,0.5","1,0",0,证伪/证伪,6000,1,1:1,0.3004,1,2,0,0,,0,
5,2,DD,"0.65,0.6","1,1",0,跨库/跨库,2512,1,2:0,0.0259,0,2,1,5,no,0,
6,2,RR,"0.6,0.7","0,0",0,机制/机制,10000,1,1:1,0.1759,0,2,0,0,,2,
7,2,DD,"0.55,0.45","0,0",0,证伪/证伪,2512,1,0:2,,0,2,0,0,,0,
8,2,LL,"0.75,0.55","1,1",0,机制/机制,6000,1,2:0,0.1254,0,2,0,0,,0,
9,2,DD,"0.55,0.7","1,1",0,边界/边界,6000,1,2:0,0.3386,0,2,0,0,,0,
10,2,NN,"0.65,0.65","0,0",0,机制/机制,6000,1,2:0,,0,2,1,6,no,0,
11,2,RR,"0.7,0.6","1,0",0,机制/机制,6000,1,2:0,,0,2,0,0,,2,
12,2,DD,"0.35,0.7","0,1",0,证伪/跨库,9000,1,1:1,0.4253,0,2,0,0,,0,
