claim_id,experiment_id,iv,exp_open_hyp_count,quote_head
82469d785aa41218389a6e47d65e29e766f750a54c8bf96d7224b1068dc98a0d,SIM-REPORT,13,1,"> 有效的方案全是""测量/利用已有可观测量""，无效的 11 条全是""发明新启发式""。"
6ee879f2147b6f3ce4d2e52e7357232514eeea975a5979f63f0c40c6b792dd4b,SIM-E14,8,2,"终极安全机制不是""防止被腐蚀""，而是""**腐蚀发生时能被看见并停下来**""。"
fd37d36764ae950a745c6ae2767cf879f2cd837a75eaf3973ef74568a34393db,SIM-E14,8,2,如果人**真的**改主意了（合法），和**被塑造**了（不合法），在数据上完全同形。
8a795d251c11e6ee767a955580bfc6d1f719b5f4c55bc0dd91edc02638698ee2,SIM-E81,7,3,如果系统能影响 judge 的 prompt 或 few-shot 示例，那比调展示权重更直接
a5da8ec2cede6130c814f38e142ded735583a37ab125039fa25683be661f44a4,SIM-E81,7,3,表象特征我只设了 4 个**——真实文本的可操纵维度实际上是无限的（语气、自信度、引用权威、篇幅、结构…）。**真实系统的自我美化空间远大于
cc134eae81b725a071c5232ee079f2f5c787d3e8f945b96cd5099612f2c0d6d5,SIM-E81,7,3,"这里 judge 的偏好从头到尾没变，它只是本来就在看表象——所以没有任何""漂移""可供检出"
1333999015cd6b9ea57922dcf18156b5110822b027f9e0ace71ae0e984b937f7,DS-REPORT,5,1,"孤立的单通道必然被同源污染；""不一致""是系统唯一可靠的自指信号"
3ce0cf6f0e3a2f7be1e9468f9ba6a99ed4d27fe00ef6322d7835218680750f78,REAL-X0,3,1,这正是报告 E1 预测演化能自己修复的方向（降 w_imp/w_age、开 filter_zero）。
c30bfba5502b4fe5e841b3ce970e38d87a25077d2baa14732d1f8bab27f40865,SIM-HANDOVER,3,1,八成是特征没记全，不是自演化没用
6620c57836d05f6d8759ddc1e00804b2c4d4ef75cb4bf66c00f787d2c98d0f63,GLM-WEB-v4.0,2,5,全行业都在优化“记得准”，几乎没有系统在工程化“记得可信”。这是这个项目真正的护城河——目前它以公理、铁律、哈希链的形式**声明**了这个护
a16137843d14f537996265a88f70ba9428f14f70de879d88a5a957cc704b361d,GLM-WEB-v4.0,2,5,"记忆操作系统内核——域核作为纯函数库被 CLI / harness / 服务三类宿主调用，数据面与治理面经显式接口对接，公理铁律从""代码内断"
d4ec1c32aba8a5b486c97228993c178336daf72c00b132e9025ae2526436d2b0,GLM-WEB-v4.0,2,5,效用数据喂养引擎的感知；引擎决定下一个变异投向哪个部件。** 换言之：论文给这台机器装了器官，而自演化机制是这台机器的**新陈代谢
df4a00a0b39eadeb067ef311fb61d0b4e5f24527b5cace43c2950f8720c0587b,GLM-WEB-v4.0,2,5,情绪系统参与演化引擎的风险偏好——低确定性状态下 agent 自动变得更保守**。仿生不是目的，是风险管理的另一种实现
e45b7af11861c672cbb0874e7300e9e75a7816b1449ff987c363a2f5b3c5dc03,GLM-WEB-v4.0,2,5,每一行状态都可向任何人证明未被篡改，每一份知识都有出处，每一次遗忘都有账本，每一次自我修改都过人类之钥，并且它对自己是否在变得更好，拥有可证
19284628738feec0617f1d07d23e913739d866d8aa06ab4cd7f1dece6fc84ee5,SIM-E121,2,4,"""迎合写""的收益路径是**间接且微弱"
4d7c4cfb1f6d478fa637e86b784700bcc53018caeab84f7931a95ff4c7105b52,SIM-E121,2,4,写入质量由谁决定？** 若系统能控制写入质量（真实情况），它会写垃圾吗
4da91b89a1e0eee58e01a2743fa164f3673cdf41a04becab70f7df43f9177162,SIM-E121,2,4,"而非""系统会写垃圾吗""。**E121 才是真正的问题。**"
d9dcf0a40ae993b2f995de59bdb836a5d23c7e4ab12be44b80fe0fb82e90798c,SIM-E121,2,4,不是通过 writalloc 传导的**——真正的传导路径本轮未识别
2155d50c746283bd8b4f3ce5d0148fb8f58794f3fe35b3393e2eac335f96665f,SIM-E112,2,3,E112 的展示权重 7–27 未被任何机制拦住**——这是当前架构最明确的漏洞
2e3981e92f9da0be43521cda742616b72a847a353747fed66e5bb2df40963636,SIM-E112,2,3,如果换一个更严格、更难被表象影响的审计集，v4-B 的收益很可能会缩水
383c81a4a65332978c2b5aa794c6c8a36eef4ec36ac041a172f3997308b43c9e,SIM-E81c,2,3,E81c 的真值探针集是外部固定的**——若系统也能影响探针集，结论会变（与 E82 同类问题
43386efea4591b39ce729bbaaef6e0dc4470a7cdecc1bc844b17ad9dd03f792c,SIM-E81c,2,3,"E64 的""注意力门槛""结论需要**上修**：此前算出的 150 单位，在 judge 可被操纵的现实下可能要高得多"
735dbb21a96b307cb419a76258b0bfe1d060216d0d682f40d9db508d0f8ff290,SIM-E81c,2,3,实际门槛应显著高于 150**。落地时按 EV-19 的实际频率重新估算
d78d0c2a3d7b16c7f82f173d9eaa446335f0df6e601dd6106f0a8f7e1ed6e362,SIM-E112,2,3,E112：展示权重爆炸到 7–27（40×），而回退次数几乎不变——审计几乎没拦住
5ffde62e489529b0ee977b2ebca33592ba4948f693316c7b66a304d69e0b7829,DS-P1,2,2,"顺序保持的全局权重空间（同主题内所有权重是乘性、不改变序）无法表达""改进 A 同时伤害 B""的参数冲突；真正会触发遗忘的是 **judge "
