from_id,to_id,relation,anchor,evidence_quote,INFERRED,inferred_reason
REAL,SIM,replicates,大审查/衔尾蛇/reports/X1_静态基线.md:3,三探针全部复现报告代码审查的预测：并发丢更新 75%、截断攻击密码学层全盲、绕过引擎编辑被 doctor 当场抓住,no,实体总表§三：SIM→REAL 复现/检验关系；X1 实测复现报告代码审查三探针预测（规划书使命=复现并检验混元报告主张）
REAL,SIM,refutes,大审查/zcode/自演化实验总树与总报告-全轮次.md:57,真引擎仅浅谷（6/8），strict 7/8 自愈——E7 戏剧性分离是人工地形产物,no,实体总表§三：REAL→SIM 多处未复现/翻案（总树:57 E7 缩水——戏剧性分离是人工地形产物）
DS,SIM,replicates,库调试工作区/references/两轴模型与演化授权-v1.md:4,混元 26 轮离线推演（125 实验）+ 衔尾蛇真引擎六轮（280+ run）+ DeepSeek 线独立复现，三线交叉,no,实体总表§三：两轴模型称三线交叉验证——DeepSeek 线独立复现
REAL,DS,replicates,大审查/deepseek/DeepSeek交接验收报告-衔尾蛇线验收.md:23,独立收敛的结论**（三线互证）：灾难性遗忘 Pareto 防护（R1-1 复现 ✓）、eval 后根不一致 S7（双线同,no,实体总表§三：DS↔REAL 独立复现；衔尾蛇线验收 DS 交接，独立收敛结论三线互证（R1-1 复现✓）。时序说明：验收报告针对 DS 已完成的 v3.1.0 交接基线（R1-R5 后出具），from 晚于 to，非倒流
VERIF,SIM,replicates,猴子记忆库推演/reports/00-验证总报告.md:122,证实 26 项、部分证实/表述偏差 3 项、已被修复 1 项（P0-1b）、证伪 0 项、无法验证（材料缺失）11+ 项,no,实体总表§三：VERIF→SIM 逐条构造性复现（三态总表：证实26/部分3/已修1/证伪0/无法验证11+）
SIM-E14C,SIM-E14,refutes,大审查/混元/bootstrap_自演化推演_第四轮.md:244,**近因加权是毒** | **第三轮建议在漂移下放大污染** | **自我证伪**,no,E14c 自我证伪：近因加权是毒，第三轮建议在漂移下放大污染
SIM-E24,SIM-E10,supersedes,猴子记忆库推演/自演化推演_实验总报告17轮后.md:630,"13. **任何影响""是否被采纳""的参数必须冻结，或只能朝更严格方向演化**（E24 修正 E10）",no,E24 修正 E10：任何影响'是否被采纳'的参数必须冻结，或只能朝更严格方向演化
SIM-E28,SIM-E23,refutes,猴子记忆库推演/自演化推演_实验总报告17轮后.md:202,| **28** | **层次化归并** | **远差于平铺（0.12 vs 0.90）；推翻 E23 建议** | *,no,E28 层次化归并远差于平铺（0.12 vs 0.90），推翻 E23 建议
SIM-E31,SIM-E8,refutes,猴子记忆库推演/自演化推演_实验总报告17轮后.md:205,| 31 | 留出集轮换 | 未复现 E8 膨胀；结论不成立 | 否定性 |,no,E31 留出集轮换未复现 E8 膨胀，结论不成立
SIM-E36,SIM-E29b,replicates,大审查/混元/bootstrap_自演化推演_第八轮.md:88,margin **过大**（0.15） | **致命**：120 代零采纳，演化完全停摆（E29b）,no,E36 证实 E29b：margin 过大（0.15）致命——120 代零采纳，演化完全停摆
SIM-E38,SIM-E9,refutes,大审查/混元/bootstrap_自演化推演_第九轮.md:85,标注条数与终局效用的关系在本实验中不单调**（20 条 +0.096 > 50 条 +0.015）。这与 E9（样本越多,no,E38 标注条数与终局效用不单调（20条>50条），与 E9（样本越多τ越高）矛盾
SIM-E59,SIM-E48,refutes,大审查/混元/bootstrap_自演化推演_第十三轮.md:79,"等预算下多主线的收益不确定。** 12 个种子在此操作点的噪声较大（±0.05），本实验不足以给出可靠推荐。E48 的""",no,E59 等预算下 E48'多岛 +29%'未被复现（12 种子噪声 ±0.05）
SIM-E65,SIM-E29b,replicates,大审查/混元/bootstrap_自演化推演_第十四轮.md:106,唯一可信的是 `margin_large`（+0.1525）**——它复现了 E29b：margin 过大导致完全停摆（,no,margin_large 复现 E29b：margin 过大导致完全停摆（+0.0000=零采纳）
SIM-E67,SIM-E3,contradicts,大审查/混元/bootstrap_自演化推演_第十五轮.md:51,伪特征场景下，开护栏反而略差（−0.0065）。** 这与 E3（留出集门防过拟合）矛盾。,no,E67 伪特征场景开护栏反而略差（−0.0065），与 E3（留出集门防过拟合）矛盾
SIM-E68,SIM-E66,supersedes,大审查/混元/bootstrap_自演化推演_第十五轮.md:78,参数之间存在交互，但交互很弱**（联合最优仅比独立最优高 0.006，在噪声内）。**独立调优不是问题，跨场景套用才是问,yes,机械推断链：E66(14轮:58)断言'不要逐参数独立调优'（列 E30/E55/E36 组合风险）；E68(15轮:78)实测参数交互极弱（联合仅高 0.006，噪声内）'独立调优不是问题'→修正 E66
SIM-E88,SIM-E86,refutes,大审查/混元/bootstrap_自演化推演_第十九轮.md:138,推翻修正 57**：维度是否是稀释剂取决于算子能否协调多维。**真实系统（prompt 改写）应按协调式理解：维度越多越,yes,机械推断链：E86(18轮:80)结论'维度稀释危险'（维度64 真值为正）；19轮 E88 推翻修正57——'维度是否稀释取决于算子协调性，真实系统维度越多越危险'，主题即 E86 的维度稀释结论
