kind,ref_anchor,ref_type,ref_status,blind_file_line,blind_type,blind_status,ref_quote,blind_quote
FIELD-DIFF,大审查/混元/任务报告.md:343,result,verified,大审查/混元/任务报告.md:343,verdict,verified,档案只保留 Pareto 前沿会让 E7 从 10/12 掉到 0/12；,一条机制错了就是灾难**：档案只保留Pareto前沿会让E7从10/12掉到0/12；
FIELD-DIFF,大审查/混元/任务报告.md:307,result,open,大审查/混元/任务报告.md:307,result,contradicted,E16 Pareto 档案防灾难性遗忘 | **未获证实**,E16Pareto档案防灾难性遗忘|**未获证实**（0.5135vs0.5131
FIELD-DIFF,大审查/混元/任务报告.md:298,verdict,verified,大审查/混元/任务报告.md:298,result,verified,**有人侧抄录**（公理 E：Merkle 根 / chain_tip 抄录人侧）：v3 与 v4 **都能检出**,有人侧抄录**（公理E：Merkle根/chain_tip抄录人侧）：v3与v4**都能检出
FIELD-DIFF,大审查/混元/任务报告.md:297,verdict,verified,大审查/混元/任务报告.md:297,result,verified,**无外部锚点**（攻击者可重算所有内部量）：v3 与 v4 **都检不出**,攻击者可重算所有内部量）：v3与v4**都检不出
FIELD-DIFF,大审查/混元/任务报告.md:263,result,verified,大审查/混元/任务报告.md:263,method,verified,_ts` 加 `lru_cache` + 预计算文本块 + 扫描面占比移出查询循环。**加速 7.5×**,扫描面占比移出查询循环。**加速7.5×
FIELD-DIFF,大审查/混元/任务报告.md:113,verdict,verified,大审查/混元/任务报告.md:113,result,verified,"同等评估预算的随机搜索 ΔU ≈ 0（0/12 正号）。演化不是""碰运气搜索","H10成立且分离度极大**：同等评估预算的随机搜索ΔU≈0（0/12正号）。演化不是""碰运气搜索"
FIELD-DIFF,大审查/混元/离线实验总纲_从零复现.md:378,result,verified,大审查/混元/离线实验总纲_从零复现.md:378,parameter,verified,多个改进叠加后反而变差。已出现 8 次 |,复合失配**|多个改进叠加后反而变差。已出现8次
FIELD-DIFF,大审查/混元/离线实验总纲_从零复现.md:347,hypothesis,open,大审查/混元/离线实验总纲_从零复现.md:347,verdict,verified,全部 125 个实验的 judge 都是人工加权函数 |,真实LLM-as-judge**|全部125个实验的judge都是人工加权函数
FIELD-DIFF,大审查/混元/离线实验总纲_从零复现.md:187,parameter,verified,大审查/混元/离线实验总纲_从零复现.md:187,result,verified,期望：PASS 27 / FAIL 0,期望：PASS27/FAIL0
FIELD-DIFF,大审查/混元/离线实验总纲_从零复现.md:27,result,verified,大审查/混元/离线实验总纲_从零复现.md:27,verdict,verified,"外部参照必须与观测通道独立**，否则不构成""外部"" | E81（锚定审计零触发） |","外部参照必须与观测通道独立**，否则不构成""外部""|E81（锚定审计零触发"
