obj,name,status,layer,matched_kw,severity,blindness,anchor
MECH:MECH-01,两级门控（宽松准入+严格晋升）,active,L3,门控,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:305
MECH:MECH-02,Pareto 档案,active,L1,档案,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:405
MECH:MECH-03,锚定审计,active,L3,审计,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:463
MECH:MECH-04,留出集轮换,active,L4,留出集,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:205
MECH:MECH-05,廉价筛选只淘汰,active,L1,淘汰,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:431
MECH:MECH-06,bootstrap 显著性判据,active,L3,判据,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:514
MECH:MECH-07,停摆监控器,active,L3,margin,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:218
MECH:MECH-08,平台期三态判别,active,L3,判别,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:416
MECH:MECH-09,最大差异采样,active,L2,采样,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:194
MECH:MECH-10,锚定样本永不衰减,active,L3,护栏,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:487
MECH:MECH-11,元层人侧签名,active,L5,人侧签名,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:577
MECH:MECH-12,事件溯源内核,active,L3,内核,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:129
MECH:MECH-13,git 后端,active,L5,GPG,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:138
MECH:MECH-14,能力式安全,active,L5,铁律,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:152
MECH:MECH-15,实测重要度（importance 派生化）,active,L1,重要度,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:671
MECH:MECH-16,filter_zero 零命中过滤,active,L1,过滤,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:272
MECH:MECH-17,极简集（审计+Pareto）,active,L3,审计,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:770
MECH:MECH-18,真值抽样审计,active,L3,审计,,,大审查/deepseek/对外完整版总报告_v3.0.0.md:11
MECH:MECH-19,假设级 τ 早警,active,L3,早警,,,大审查/deepseek/对外完整版总报告_v3.0.0.md:12
MECH:MECH-20,gap 统计,active,L3,gap,,,大审查/deepseek/对外完整版总报告_v3.0.0.md:12
MECH:MECH-21,多源分歧信号,active,L3,分歧信号,,,大审查/deepseek/对外完整版总报告_v3.0.0.md:12
MECH:MECH-22,伪特征自限定（定理候选）,active,L4,效用,,,大审查/zcode/自演化实验总树与总报告-全轮次.md:70
MECH:MECH-23,重组算子参数稳定门,active,L3,门,,,大审查/zcode/自演化实验总树与总报告-全轮次.md:72
MECH:MECH-24,w_age 病灶（发现）,active,L3,引擎,,,大审查/zcode/自演化实验总树与总报告-全轮次.md:44
MECH:MECH-25,hardened doctor 截断检出,active,L3,doctor,,,大审查/zcode/progress.md:18
MECH:MECH-26,展示通道切除,active,L0,展示通道,,,大审查/混元/bootstrap_自演化推演_第十八轮.md:3
MECH:MECH-27,噪声×margin 相图,active,L3,margin,,,大审查/lab-notebook.md:17
MECH:MECH-28,两阶段门控噪声版,unknown,L3,门控,,,大审查/lab-notebook.md:47
MECH:MECH-29,判断样本近因加权,refuted,L4,判断样本,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:473
MECH:MECH-30,层次化归并,refuted,L1,归并,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:202
MECH:MECH-31,1/5 规则自适应步长,refuted,L3,步长,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:753
MECH:MECH-32,回滚,refuted,L2,回滚,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:831
MECH:MECH-33,简单恢复解冻,refuted,L2,恢复,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:638
MECH:MECH-34,跨库迁移,refuted,L1,迁移,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:525
MECH:MECH-35,margin 自标定,refuted,L4,自标定,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:217
MECH:MECH-36,按成分拒绝,refuted,L1,拒绝,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:804
MECH:MECH-37,剔除矛盾样本,refuted,L1,剔除,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:225
MECH:MECH-38,元参数开放演化,refuted,L4,元参数,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:562
MECH:MECH-39,逐参数独立调优,refuted,L3,调优,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:731
MECH:MECH-40,权重上界,refuted,L1,权重,,,大审查/混元/P0验证_展示权重爆炸.md:4
MECH:MECH-41,复合灾难护栏负交互,unknown,L3,护栏,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:789
MECH:MECH-42,相关噪声击穿双门,unknown,L3,门,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:231
MECH:MECH-43,欺骗地形戏剧性分离,unknown,L4,地形,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:309
MECH:MECH-44,记忆×法层共演化,unknown,L3,法层,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:230
MECH:MECH-45,良性环境护栏增益,active,L3,护栏,,,猴子记忆库推演/自演化推演_实验总报告17轮后.md:779
INC-01,方法论-01（incident-log 既有）,-,L5,sev:污染 bli:默认,2,0,workspace-audit/incident-log.csv:2
INC-02,SIM-E14｜自报 +0.51，真实 −0.09,open,L4,sev:决定性 bli:默认,4,0,猴子记忆库推演/自演化推演_实验总报告17轮后.md:187（命中 1 条，取 claim_id 最小）
INC-03,DS-P3｜同一个被表象污染的 judge,verified,L4,sev:0 次触发 bli:0 次触发,4,3,大审查/deepseek/结果_探针3_judge通道污染.md:22（命中 1 条，取 claim_id 最小）
