round,hypotheses_n,source_type_split,priors,hits,novelty_flags,directions,eval_count_used,toolbox_extensions,confirm_vs_disconfirm,divergence_mean,red_team_triggered,boundary_conditions_total,review_at_round,review_clusters_found,review_refuted_common_cause,REVIEW_DRIVEN_n,note_free
1,3,DDD,"0.45,0.55,0.5","1,0,1",0,机制/参数/机制,2040,1,2:1,0.4778,0,3,0,0,,0,"首轮全DATA; H1机械量=率(0)与post方向倒置致divergence偏大,自R2起prereg规定mechanical取假设同向(越高越真); 判据v2(chdir修复)已补记registry"
2,2,LL,"0.7,0.6","0,0",0,边界/边界,21000,1,1:1,0.4479,0,2,0,0,,0,程序偏差如实记:registry写入晚于执行(文件零改动); H1机制成立但阈值先验错; mechanical同向约定生效
3,3,LLL,"0.75,0.65,0.6","1,0,0",0,机制/机制/机制,15000,1,1:2,0.3806,0,3,0,0,,0,先锁后跑纪律恢复; E16强复现; E11缓解真但伴塑性代价; 联合判据设计教训入OBL-001
4,2,DD,"0.45,0.5","1,0",0,证伪/证伪,6000,1,1:1,0.3004,1,2,0,0,,0,红队预演:吸收论边界坐实但门控不对称反机制被rate数据修正; 拟题期先验0.7->0.45错过(直觉对推理错); 拟题即分析的双刃剑
5,2,DD,"0.65,0.6","1,1",0,跨库/跨库,2512,1,2:0,0.0259,0,2,1,5,no,0,双SUPPORTED; 首个低divergence轮0.026; 跨库实际跨度=衔尾蛇内跨族+微量源外; R5-REVIEW: 反例检索给出R6候选B2世界景观避开切换x档案/平台统计/塑性代价
6,2,RR,"0.6,0.7","0,0",0,机制/机制,10000,1,1:1,0.1760,0,2,0,0,,0,REVIEW-DRIVEN首战双INCONCLUSIVE贴阈值; 陷阱/锁定都半真(0.83/0.67); OBL-003阈值敏感性登记; 下轮R7证伪挑战R5双SUPPORTED(增益分层+族分层)
7,2,DD,"0.55,0.45","0,0",0,证伪/证伪,2512,1,0:2,,0,2,0,0,,0,证伪双守卫INCONCLUSIVE:档案无小增益run且无其他源长序列——证伪不可执行本身是结构发现; 手算再错2处(累计4)自测门全抓; v1锁后FAIL违规已记registry
8,2,LL,"0.75,0.55","1,1",0,机制/机制,6000,1,2:0,0.1254,0,2,0,0,,0,E13/E7两阶段门控双SUPPORTED且双轴占优margin加码; rate0.2991又贴阈(0.30)但这次有理论对齐(预测0.27)
9,2,DD,"0.55,0.7","1,1",0,边界/边界,6000,1,2:0,0.3386,0,2,0,0,,0,双SUPPORTED:两阶段=平坦优化器尖峰减速器; 荒漠假采纳是探索功能件; divergence偏高系mechanical(1-rate)与信念量纲差异
10,2,NN,"0.65,0.65","0,0",0,机制/机制,6000,1,2:0,0.4833,0,2,1,6,no,0,NARRATIVE首例即REFUTED(U形真相:缓坡0.015<<峰顶0.32<荒漠0.85); 调节变量=局部梯度/噪声信噪比; 重放v1验证门拦住选格bug; R10-REVIEW机械选中B6梯度信噪簇与人工计划收敛
11,2,RR,"0.7,0.6","1,0",0,机制/机制,6000,1,2:0,0.1654,0,2,0,0,,0,梯度律平坦世界干净成立; 尖峰守卫INC; registry初记hash错误当场修正(同命令sha256sum暴露)——登记完整性事故1起
12,2,DD,"0.35,0.7","0,1",0,证伪/跨库,9000,1,1:1,0.4253,0,2,0,0,,0,收官红队轮:红队失败定律鲁棒(先验0.35诚实)+池化跨世界成立; 手算累计第5错(池化漏第二组)自测门拦; heredoc断链事故v2重登记; 循环12轮全终止
