T3-0439	诺瓦露被血魔法魔人化驱使旁观	incantation_Gravity	话:第357话 置身幕后 / block_id md-0047
T3-0440	弗茨亚茨门厅拉丝缇娅拉独战三理贼	incantation_Impulse | incantation_Blood_Arrow	话:第358话 时间的交叉点 / block_id md-0050
T3-0443	缇达背后捅刀师父	incantation_燃烧吧断炎 | incantation_Flame	话:第367话 缇达此人 / block_id md-0068
T3-0445	涡波觉醒次元之理盗窃者	incantation_LevelUp | incantation_燃烧吧炎剑 | incantation_FlameFlamberge	话:第369话 最初的背叛 / block_id md-0072
T3-0446	缇达反戈背刺罗密斯	incantation_Dark	话:第369话 最初的背叛 / block_id md-0072
T3-0452	涡波以光神称名离法尼亚	incantation_LevelUp	话:第371话 读书 / block_id md-0076
T3-0453	过去视毕裂缝相会缇亚拉	incantation_次元决战演算前日谭(过去视) | incantation_di·vibration	话:第374话 最终章来到后半 / block_id md-0089
T3-0462	涡波咏唱《冬之异世界》自省	incantation_冬之异世界	话:第375话 冬之异世界 / block_id md-0101
T3-0465	红线束缚逼迫发动前日谭	incantation_distance_mute | incantation_dimension	话:第376话 最后的缇亚拉 / block_id md-0108
T3-0466	涡波阅缇娅拉手记觉真相，莱纳唤醒	incantation_过去视	话:第388话 兄与妹 / md-0168, md-0169, md-0170
T3-0467	莱纳对答案后涡波呐喊告白为真	incantation_次元魔法	话:第388话 兄与妹 / md-0171
T3-0468	拉斯缇亚拉在迷宫初遇见等级1涡波	incantation_Cure Full | incantation_Lave Up	话:第389话 当这封信交付至你的手中 / block_id md-0180
T3-0471	暴洪奇袭水母战中落水接吻	incantation_大洪水(伽鲁夫纳多杰里)	话:第390话 走马灯 / block_id md-0188
T3-0473	涡波选择拉斯缇亚拉丶圣人缇亚拉咏唱再诞	incantation_再诞(revive)	话:第392话 『告白』之日 / block_id md-0196
T3-0474	芙茨亚茨城攻略战丶诺斯菲决斗刺伤拉斯缇亚拉	incantation_赫尔米娜的心脏	话:第393话 『命运』之日 / block_id md-0201
T3-0475	涡波战死丶拉古涅成为月之理的盗窃者	incantation_赫尔米娜的心脏	话:第393话 『命运』之日 / block_id md-0204
T3-0477	拉斯缇亚拉救诺斯菲战黄金狮	incantation_sehr_Wind | incantation_FlameArrow	话:第394话 赫尔米娜‧涅夏的悲愿 / block_id md-0208 md-0210
T3-0478	解除格连魔人返还与嘱托	incantation_Blood | incantation_Dragoon_Ardour	话:第395话 代理 / block_id md-0212 md-0213
T3-0482	阳滝冬之魔法笼罩大陆	incantation_冬之异世界 | incantation_Default	话:第396话 冬 / block_id md-0221 md-0222
T3-0483	一楼三足鼎立混战	incantation_Freeze | incantation_Impulse_Break | incantation_Dragoon_Arder | incantation_FlameArrow	话:第397话 『被造物』 / block_id md-0225 md-0226
T3-0484	星魔法Reevan掌控全场	incantation_星魔法Reevan | incantation_Relief_Northfield	话:第397话 『被造物』 / block_id md-0228 md-0229 md-0230
T3-0486	阳滝清算挚爱诅咒	incantation_赫尔米娜涅夏 | incantation_星魔法Reevan	话:第398话 『我们』 / block_id md-0232
T3-0487	拉斯缇亚拉降灵英雄魂灵	魔石线 | 降灵	话:第398话『我们』 / block_id md-0233
T3-0488	星魔法《Line》人化完成	Line | Reevan	话:第398话『我们』 / block_id md-0234
T3-0489	共鸣魔法《Flame》对抗三盗窃者	Flame | Growth·Extended | Magic Arrow | Dragoon·Arder	话:第398话『我们』 / block_id md-0235
T3-0490	拉斯缇亚拉临终炽爱告白	咏唱	话:第399话持续窜逃不断奔逃 / block_id md-0240
T3-0493	涡波见证晖之死完成盗窃者	过去视 | Dimension	话:第400话『相川涡波』的最后一役 / block_id md-0249
T3-0494	缘滝提议《冬之异世界》遭拒	冬季之异世界Wintory·dimension | Dimension	话:第400话『相川涡波』的最后一役 / block_id md-0252
T3-0495	涡波取五魔石化生星之魔力	星之魔力 | 心异·无貌 | 阿雷伊斯家的宝剑诺文	话:第401话『始祖』 / block_id md-0255
T3-0496	涡波承认系影慕死神制作者	Torsion·Field | Dimension | 影慕死神	话:第401话『始祖』 / block_id md-0258
T3-0497	部波×缘滝兄妹最终决斗	阿雷伊斯流的剑术	话:第402话『身高相较』 / block_id md-0259
T3-0498	莱纳双剑奇袭助阵	风之腕 | 未来视	话:第402话『身高相较』 / block_id md-0260
T3-0499	涡波以剑术向妹妹发起最终挑战	incantation_次元决战演算_先谭Realize | incantation_感应	话:第402话 身高相较 / block_id md-0263、md-0264
T3-0500	阳滝揭示召唤真相=她是异世界执笔者	incantation_次元决战演算_先谭Realize	话:第402话 身高相较 / block_id md-0265
T3-0501	阳滝宣告拖涡波回冬之异世界	incantation_Distance_mute | incantation_Default | incantation_次元决战演算_前日谭Recall | incantation_冬之异世界Wintory	话:第402话 身高相较 / block_id md-0266、md-0267
T3-0502	过去视重现『命运之日』与拉斯缇亚拉之死	incantation_次元决战演算_前日谭Recall | incantation_Distance_mute | incantation_冬之异世界Wintory	话:第403话 将死 / block_id md-0268、md-0269、md-0270
T3-0503	涡波被冻结,缇亚拉奇袭血之人偶刺穿阳滝	incantation_次元决战演算_先谭Realize | incantation_Distance_mute | incantation_冬之异世界Wintory	话:第403话 将死 / block_id md-0270、md-0271、md-0272
T3-0504	缇亚拉魔石被粉碎,阳滝称支配世界	incantation_Distance_mute	话:第403话 将死 / block_id md-0273
T3-0505	拉斯缇亚拉遗体现身,神圣魔法Reevan启动	incantation_Reevan | incantation_Line | incantation_Tiara	话:第403话 将死 / block_id md-0274、md-0275
T3-0506	涡波咏唱艾德与诺文真正魔法	incantation_王落土LostViEitheA | incantation_致亲爱的一闪DiAWraith | incantation_Line | incantation_Replace_connection | incantation_Default	话:第404话 感想战 / block_id md-0280、md-0281
T3-0507	缇亚拉揭露女儿手下留情真相	incantation_Line | incantation_Reevan	话:第404话 感想战 / block_id md-0282
T3-0508	缇亚拉最终魔法《我的世界的物语》	incantation_我的世界的物语TalesLasttiara | incantation_Reevan | incantation_Line | incantation_Tiara	话:第404话 感想战 / block_id md-0283、md-0284、md-0286、md-0287
T3-0509	反转:『我并非相川阳滝』身体交换	incantation_我的世界的物语TalesLasttiara | incantation_冬之异世界Wintory	话:第405话 神圣之理 / block_id md-0288
T3-0510	涡波抓住阳滝之手,魔法成型封印其技能	incantation_Distance_mute | incantation_我的世界的物语TalesLasttiara	话:第405话 神圣之理 / block_id md-0289
T3-0512	缇亚拉血之腕辅助反被污染	incantation_Reevan | incantation_Line魔石线	话:第405话神圣之理 / block_id md-0290,md-0291
T3-0513	共鸣魔法抵达真相之底	incantation_次元决战演算_前日谭(Recall)	话:第405话神圣之理 / block_id md-0291
T3-0515	行间最后对答案，兄妹真相揭露	tales_lasttiara	第409话 真正的兄妹 / block_id md-0319
T3-0516	涡波拒绝阳滝，誓与拉斯缇亚拉同行	tales_lasttiara	第409话 真正的兄妹 / block_id md-0321
T3-0519	阳滝咏唱真正魔法《雪底坚冰》	heavenfall_niflheim | guardian_100_阳滝	第411话 第百之试炼『冻狱』 / block_id md-0330~0331
T3-0520	缇亚拉咏唱《愈阳之虹冠》治愈阳滝	whose_yards_tiara | tales_lasttiara | heavenfall_niflheim	第412话 冻狱百层，女子闭心 / block_id md-0332~0333
T3-0521	第百之试炼落幕，阳滝紧紧拥抱	guardian_100_阳滝	第412话 冻狱百层，女子闭心 / block_id md-0335
T3-0522	阳滝与缇亚拉化为魔石，涡波获深漂者	guardian_100_阳滝	第413话 后记 / block_id md-0336~0340
T3-0523	涡波苏醒，兄妹道别，故事不终止	wintry_dimension	第413话 后记 / block_id md-0337~0341
T3-0533	涡波咏唱《Connection》连接曲空之间	incantation_connection	话:第414话始笔 / block_id md-0008
T3-0535	使徒希丝以信仰为代价显现	incantation_缇亚拉 | incantation_雷梵	话:第415话异世界的宗教 / block_id md-0012
T3-0538	法夫纳・赫尔米娜确保计划确认	incantation_前日谭 | incantation_次元决战演算	话:第416话异世界的元老院 / block_id md-0022
T3-0542	古奈尔劝涡波勿见双亲	incantation_先谭	话:第420话异世界的战鬥 / block_id md-0036
T3-0547	大圣堂地下咖啡魔法早茶	magic_water_Water | magic_lightning_Lightning	第422话异世界的舒适早晨 / block_id md-0050、md-0051
T3-0551	涡波与缇亚立下新契约	magic_default	第423话异世界的回忆 / block_id md-0059、md-0060
T3-0553	赠缇亚异界之服与围巾	magic_default_armorbreak	第423话异世界的回忆 / block_id md-0063、md-0064
T3-0557	探访玛利亚山丘之家	magic_connection	第424话异世界的伙伴们 / block_id md-0074
T3-0563	BlackShift抹消对话	次元魔法《BlackShift》	话:第427话 欢乐的异世界 / block_id md-0096~0101
T3-0566	魔法TalesLasttiara续持	魔法《我的世界的物语(Tales・Lasttiara)》 | 次元魔法《BlackShift》	话:第428话 生活于异世界 / block_id md-0106~0107
T3-0571	涡波以DistanceMute为血之人偶送行	incantation_DistanceMute	话:第430话 / block_id md-0121
T3-0573	血之魔兽在小屋袭来	incantation_诺文 | incantation_龙之风	话:第431-432话 / block_id md-0129~md-0131
T3-0574	涡波紫线与DistanceMute连破血之魔兽	incantation_阳滝丝线 | incantation_DistanceMute	话:第432话 / block_id md-0132~md-0134
T3-0575	格连·沃克登场黑线尽灭血之魔兽	incantation_黑线/魔石线	话:第432话 / block_id md-0135~md-0136
T3-0576	赛尔德拉《Genoscythe》放射线剿敌	incantation_Nuclear主锁断裂/Genoscythe | incantation_龙之风	话:第433话 / block_id md-0140~md-0142
T3-0588	格连成为血之理盗窃者代行者	bloodland_transform	话436格连 / block_id md-0161
T3-0589	涡波咏唱《blood》劈开血海降落	incantation_blood	话436格连 / block_id md-0162
T3-0598	御神体保管室·血之人偶战	incantation_LostFaniaLabourJail | incantation_Default	话439次元的再上升 / block_id md-0184
T3-0599	血之怪异咒术压制涡波	incantation_旧历百年百怪妖异谈 | incantation_旧人类史	话439次元的再上升 / block_id md-0185
T3-0600	涡波挣脱血之怪异·吸力成纸	incantation_DISTANCE_MUTE	话439次元的再上升 / block_id md-0187
T3-0602	涡波迷宫化地底·共鸣魔法转换场景	incantation_ReadingShift	话440『次元之理的盗窃者』之试炼 / block_id md-0190
T3-0603	涡波试炼·揭示法夫纳留恋	incantation_Reading·Shift	话:第440话『次元之理的盗窃者』之试炼 / block_id md-0191、md-0192
T3-0604	涡波咏唱再谭·架起时空之桥	incantation_次元决战演算·再谭 | incantation_Reading·Shift | incantation_New·Reading	话:第442话『血之理的盗窃者』之试练 / block_id md-0204、md-0205
T3-0608	法夫纳探查涡波·发现真相	incantation_DistanceMute	话:第443话 真正的始笔 / block_id md-0214、md-0215、md-0216
T3-0612	异世界之旅约定·攻略自制迷宫	incantation_Replace·Connection	话:第444话-第445话 真正的地狱/真正的宗教 / block_id md-0224、md-0226、md-0227
T3-0613	大圣堂地底·魔石人类悼念拉斯缇亚拉	incantation_Connection	话:第445话 真正的宗教 / block_id md-0227
T3-0615	涡波镇压特种部队反制	incantation_DiOverWinter | incantation_Default武装破坏 | incantation_DistanceMute | incantation_Infate	话:第446话 / block_id md-0232
